ShipID,DockID,ArrivalDate,DepartureDate
9753,150,2020-03-31,2024-09-13
1218,180,2023-10-20,2024-08-06
4289,128,2020-07-05,2024-03-19
5970,114,2020-03-15,2022-05-06
6906,130,2024-07-11,2024-08-21
3459,9,2020-05-28,2021-02-15
8790,7,2023-06-23,2024-11-05
5898,141,2021-01-16,2023-02-02
8107,80,2021-07-19,2022-01-13
7214,1,2020-05-30,2024-05-22
9268,129,2022-02-11,2023-12-26
6576,178,2021-12-26,2023-08-01
1601,162,2022-02-06,2023-10-06
5558,50,2023-11-02,2024-07-22
3348,2,2024-10-13,2024-10-26
2810,183,2024-07-17,2024-10-20
5867,188,2022-11-14,2024-10-05
4017,56,2023-07-02,2024-10-16
2972,84,2024-07-10,2024-08-20
3982,133,2024-07-24,2024-11-11
4879,162,2024-10-11,2024-10-22
5677,84,2023-12-17,2024-08-24
7034,130,2024-03-03,2024-04-13
9239,94,2020-05-30,2022-07-29
8306,139,2023-07-25,2024-05-21
4699,153,2020-08-02,2024-05-01
827,60,2021-08-24,2022-01-14
5721,54,2021-10-24,2022-07-15
1808,99,2021-09-24,2021-11-10
2420,125,2020-02-03,2023-06-09
5760,175,2023-11-04,2024-12-03
6070,25,2023-09-09,2024-02-24
4570,105,2023-12-23,2024-07-23
2203,101,2022-06-23,2023-08-06
9466,20,2023-08-27,2024-08-31
5997,158,2023-02-16,2024-12-18
3566,16,2023-05-03,2024-07-27
9986,136,2023-04-15,2023-04-17
5382,173,2024-08-19,2024-11-09
1316,124,2020-02-14,2021-12-16
8603,187,2021-12-25,2022-05-07
2714,192,2024-09-11,2024-10-09
8485,133,2021-05-20,2023-06-08
5415,181,2024-12-11,2024-12-22
4020,160,2022-03-10,2023-12-31
7057,34,2022-06-29,2024-04-14
1977,110,2024-10-22,2024-11-30
5331,100,2024-11-21,2024-12-02
477,22,2023-09-08,2024-10-30
1535,32,2024-03-11,2024-03-18
6205,17,2021-08-29,2021-11-26
6210,23,2024-09-25,2024-10-26
3086,184,2023-05-18,2024-04-13
9909,56,2023-05-17,2024-02-08
1242,160,2022-06-14,2024-01-18
1282,154,2024-08-28,2024-11-01
7320,109,2023-01-23,2023-06-08
2541,10,2023-04-04,2023-05-05
3619,56,2020-05-12,2021-09-30
1324,71,2022-04-03,2024-08-30
7473,69,2021-10-30,2023-12-30
8591,39,2020-06-16,2024-03-27
1427,180,2024-03-20,2024-11-03
5505,109,2021-11-04,2024-08-10
9592,3,2022-02-19,2023-07-28
5307,197,2023-09-15,2024-06-23
5511,162,2021-04-02,2024-04-20
9787,113,2020-08-19,2023-07-18
7113,9,2020-02-24,2024-09-28
5868,83,2020-08-05,2023-01-18
3122,109,2022-10-29,2023-03-05
4028,57,2024-02-25,2024-11-21
8206,151,2021-07-11,2024-11-26
252,106,2021-04-30,2024-12-04
7814,129,2024-06-18,2024-10-13
8122,93,2020-10-20,2023-08-10
3185,21,2024-11-01,2024-12-10
9697,16,2020-12-22,2021-04-13
954,27,2022-03-18,2022-06-09
1093,17,2023-04-22,2024-02-24
3863,27,2024-10-22,2024-10-23
1168,84,2021-03-29,2024-02-28
1735,156,2023-11-27,2024-11-20
1614,1,2024-06-07,2024-11-05
3659,38,2020-04-22,2024-05-17
4851,174,2022-03-29,2022-10-28
3898,131,2024-11-06,2024-12-01
4642,127,2021-10-26,2023-11-10
9981,33,2024-07-24,2024-09-11
9882,30,2024-08-16,2024-08-21
3609,90,2020-03-13,2020-12-17
9410,59,2023-05-28,2024-01-19
7968,144,2021-01-25,2022-04-08
4824,124,2022-09-19,2023-01-21
8185,38,2021-09-10,2024-08-03
9289,8,2022-11-09,2023-08-13
5361,112,2023-07-31,2024-08-13
6789,97,2023-09-03,2023-10-07
8860,176,2020-08-09,2023-04-05
9154,113,2023-10-13,2024-02-05
6780,12,2023-12-23,2024-10-27
9087,45,2022-03-27,2022-03-30
4399,96,2023-10-23,2024-05-29
8273,19,2024-01-05,2024-11-17
367,200,2022-09-23,2024-07-10
2228,36,2024-06-12,2024-11-18
8439,126,2024-07-06,2024-08-30
5955,167,2020-04-17,2022-02-09
1793,102,2020-07-09,2023-11-16
1403,6,2020-06-14,2021-01-22
8728,140,2020-05-31,2023-12-04
1940,30,2022-04-12,2022-09-23
5769,197,2020-09-19,2024-11-22
5862,25,2022-10-23,2024-05-11
8349,17,2020-02-19,2021-01-20
3111,51,2023-07-24,2024-01-23
5163,155,2024-10-17,2024-12-28
3192,77,2022-02-25,2023-02-24
3884,117,2021-11-01,2023-09-24
9647,114,2020-09-10,2024-01-09
3230,39,2020-01-14,2024-01-05
7730,100,2021-04-30,2022-09-22
6727,19,2023-10-26,2024-02-06
6838,131,2020-07-04,2020-08-14
5604,110,2021-05-18,2022-08-02
8880,152,2024-06-12,2024-08-19
9631,57,2020-07-10,2022-06-27
2971,187,2023-07-09,2024-12-21
2243,11,2021-02-21,2022-08-10
511,146,2022-07-11,2023-12-27
5803,70,2021-05-15,2022-05-17
1350,176,2024-04-23,2024-09-22
2490,44,2022-12-10,2024-12-30
1080,14,2024-11-12,2024-11-26
5823,105,2020-01-09,2024-11-07
5127,156,2021-04-26,2023-09-23
71,38,2020-09-18,2024-02-08
512,161,2024-01-20,2024-05-27
5988,119,2022-05-13,2024-05-05
8683,80,2023-07-29,2024-06-10
1800,56,2021-05-06,2023-02-20
9154,100,2022-09-19,2024-02-20
3387,163,2024-08-31,2024-09-10
901,23,2022-08-10,2024-01-11
3172,115,2024-06-02,2024-12-09
8013,75,2024-09-19,2024-10-18
5893,130,2020-07-10,2021-08-24
5823,101,2024-02-22,2024-07-17
9475,61,2022-03-10,2022-12-20
8044,160,2020-02-21,2022-06-01
9792,138,2020-12-18,2023-08-17
9748,137,2023-10-03,2024-09-10
169,92,2021-10-11,2021-10-27
1999,132,2023-02-19,2023-09-30
9566,180,2020-06-29,2024-08-21
4738,143,2020-06-10,2021-04-27
8822,89,2020-09-13,2023-10-29
3606,98,2024-10-27,2024-11-15
3378,194,2023-09-22,2023-12-29
2926,52,2024-03-19,2024-04-21
2523,159,2023-11-15,2024-11-24
202,182,2020-12-22,2023-05-19
6209,172,2024-05-27,2024-07-11
169,137,2024-05-11,2024-12-17
7312,181,2024-12-23,2024-12-26
4526,175,2021-09-13,2022-11-10
5804,109,2024-11-03,2024-11-10
5695,150,2020-12-05,2022-03-28
2817,5,2023-03-01,2023-04-06
3773,137,2022-06-12,2023-09-13
708,120,2024-11-20,2024-12-21
6818,149,2022-07-01,2022-12-07
1394,59,2022-01-25,2024-12-15
6803,13,2020-03-18,2021-07-15
9455,87,2021-11-26,2024-03-03
6080,153,2024-09-13,2024-12-30
6430,127,2022-10-22,2024-11-02
9256,63,2022-07-23,2024-04-18
2948,162,2020-12-04,2023-10-25
8574,144,2023-11-28,2024-12-15
2853,186,2020-09-18,2022-12-20
2669,171,2020-07-13,2023-06-19
7863,128,2023-11-02,2024-10-18
697,1,2024-11-04,2024-12-17
9677,143,2024-01-03,2024-02-17
6234,160,2022-02-27,2024-02-18
3631,31,2024-09-13,2024-12-17
9284,83,2020-09-15,2023-01-06
7356,66,2021-08-17,2022-05-09
5666,160,2023-11-08,2024-10-12
5821,82,2023-02-14,2023-04-28
9104,5,2023-05-12,2023-06-04
8288,141,2021-01-12,2023-06-08
2568,5,2024-05-10,2024-11-18
1068,186,2021-02-02,2023-04-22
4042,109,2021-04-10,2023-11-03
659,72,2024-05-08,2024-05-20
7061,113,2021-02-11,2024-03-26
8645,106,2022-09-19,2023-01-07
4160,68,2021-03-12,2024-07-03
3,62,2021-08-24,2023-05-06
4669,6,2024-08-13,2024-08-27
1423,37,2023-08-01,2024-03-13
6374,53,2024-05-15,2024-07-22
5628,145,2020-01-18,2024-06-07
3355,82,2024-07-16,2024-08-16
1961,41,2020-09-13,2023-04-12
8606,135,2024-03-09,2024-08-27
4630,16,2022-08-18,2023-05-23
9725,121,2024-02-14,2024-07-28
329,159,2024-12-05,2024-12-07
2634,28,2022-06-19,2024-01-03
8588,70,2021-08-25,2024-05-13
2393,120,2022-03-15,2024-06-05
6039,33,2023-04-22,2024-01-11
7957,145,2023-05-07,2023-10-13
1950,15,2021-10-24,2021-12-23
5372,92,2020-11-30,2022-05-07
7727,102,2020-08-07,2020-12-07
9094,84,2020-02-12,2022-08-09
2533,109,2021-11-10,2022-12-26
5481,119,2020-05-01,2022-07-18
2591,126,2023-02-19,2023-03-13
76,98,2024-12-04,2024-12-16
7854,82,2023-09-06,2023-11-20
5093,135,2023-03-19,2023-09-06
3367,106,2022-10-24,2024-09-01
7870,121,2020-05-22,2023-02-01
9242,37,2020-01-09,2024-04-25
5471,169,2024-07-26,2024-11-19
8218,15,2024-06-18,2024-12-04
9857,20,2023-03-20,2023-09-01
7212,45,2021-11-12,2023-03-28
6028,122,2020-06-18,2023-02-17
8063,191,2022-03-05,2024-09-14
3665,48,2024-05-19,2024-10-06
9603,142,2020-10-31,2021-08-28
5664,43,2024-07-19,2024-07-30
2183,119,2020-10-17,2021-08-23
3705,19,2023-10-31,2024-03-23
5015,166,2023-07-31,2024-10-16
8783,25,2020-04-17,2023-01-13
6282,24,2022-04-28,2022-09-25
6295,110,2023-02-12,2023-08-31
7110,143,2024-05-12,2024-05-15
9283,69,2022-06-21,2023-03-10
3638,84,2023-09-06,2024-08-04
6614,178,2020-06-11,2021-08-18
4626,85,2022-09-22,2024-09-23
4688,52,2024-04-29,2024-12-19
6032,144,2021-06-25,2022-03-09
4256,4,2024-12-08,2024-12-16
6104,46,2020-09-10,2021-03-30
4663,102,2020-05-19,2021-01-16
8351,39,2020-03-06,2022-10-24
6463,32,2023-08-15,2024-12-15
1840,61,2023-12-22,2024-08-11
5711,27,2023-02-16,2023-06-27
4285,42,2021-09-30,2024-04-20
3310,132,2022-05-10,2024-10-08
7915,103,2023-01-23,2024-12-28
9312,156,2024-11-27,2024-12-30
2025,144,2021-10-24,2023-03-16
8310,101,2021-07-19,2023-12-01
4089,104,2020-04-14,2021-06-23
6895,15,2022-12-11,2023-02-22
1369,50,2023-02-26,2024-08-22
9419,69,2024-01-12,2024-02-07
423,65,2022-04-05,2022-04-25
824,44,2020-11-21,2022-10-09
7586,87,2022-08-16,2023-08-20
8116,78,2023-06-28,2024-04-02
5399,14,2024-04-14,2024-05-25
749,153,2020-05-25,2023-05-22
5017,146,2022-12-10,2024-07-09
299,104,2020-10-29,2020-11-18
6931,163,2024-01-04,2024-02-28
8842,24,2024-01-31,2024-06-26
3292,173,2020-08-29,2021-10-04
6231,139,2023-06-30,2024-12-06
195,152,2024-11-21,2024-12-26
6732,66,2020-06-16,2024-03-12
4909,72,2023-08-19,2023-10-18
1337,30,2020-03-22,2020-05-17
405,69,2024-05-29,2024-06-08
7568,67,2022-07-24,2023-04-17
1188,181,2022-07-06,2023-03-31
7840,200,2021-12-30,2022-01-03
2287,74,2024-10-09,2024-10-20
6107,49,2024-01-09,2024-12-03
4919,29,2020-08-24,2023-02-23
6262,49,2020-08-17,2024-04-12
9613,163,2020-10-29,2021-01-29
1407,140,2021-10-17,2022-01-06
1933,140,2022-01-07,2023-09-03
5569,188,2022-11-17,2023-03-08
7331,45,2021-06-21,2021-07-12
2738,93,2021-08-06,2022-07-19
790,50,2022-02-25,2024-06-18
3829,178,2023-05-27,2023-08-30
6612,152,2020-05-10,2023-10-09
7832,76,2022-08-31,2024-08-26
6644,27,2023-10-24,2023-11-01
4852,132,2020-01-02,2021-07-19
2776,38,2020-12-11,2022-10-17
3430,102,2022-04-25,2024-09-24
208,134,2020-12-01,2022-01-15
7711,25,2020-09-15,2021-10-26
9619,58,2023-03-07,2024-05-20
9696,176,2021-08-29,2023-03-04
6088,158,2022-08-07,2023-03-17
2620,56,2021-01-27,2021-05-06
9157,197,2024-11-19,2024-11-21
4785,116,2023-09-16,2024-07-28
5138,61,2021-07-07,2023-07-09
7082,30,2021-03-02,2024-03-15
5386,182,2021-11-18,2024-12-06
9979,109,2022-04-30,2023-04-19
2191,142,2020-04-15,2021-10-31
7588,51,2024-08-14,2024-12-04
502,50,2020-01-11,2023-03-24
6576,200,2020-10-19,2024-09-17
8388,159,2020-12-24,2023-06-27
3383,136,2021-05-12,2022-03-16
4364,187,2021-07-31,2023-05-14
4911,37,2023-04-02,2024-03-31
7834,85,2024-04-21,2024-08-01
6150,155,2021-02-02,2023-12-28
443,152,2024-04-30,2024-06-18
7129,138,2024-03-08,2024-10-21
7388,113,2023-08-25,2024-04-10
9933,171,2020-11-26,2022-08-11
8371,93,2020-10-24,2021-01-06
187,15,2021-06-15,2023-02-03
5106,111,2022-10-03,2023-02-20
1376,48,2020-03-16,2021-11-30
7853,62,2020-10-25,2024-01-23
200,35,2023-01-04,2024-02-28
9331,65,2022-04-24,2024-03-13
2206,72,2020-09-28,2024-05-02
934,163,2022-08-25,2023-06-23
5921,165,2023-01-31,2023-06-17
5977,58,2024-09-06,2024-11-02
6487,84,2024-08-17,2024-12-23
9982,154,2020-12-02,2021-07-27
1429,18,2023-11-04,2024-07-16
4233,46,2024-07-09,2024-11-17
5492,198,2020-06-23,2022-07-06
3662,65,2022-08-20,2023-10-13
7561,58,2021-11-09,2022-05-23
8505,19,2023-12-02,2024-03-26
1727,159,2023-06-03,2023-11-13
9678,77,2023-10-13,2024-08-07
4782,186,2024-07-22,2024-12-26
5480,165,2020-12-31,2024-06-09
875,1,2022-09-30,2024-08-28
6509,155,2021-03-08,2023-08-18
6516,145,2020-11-11,2021-02-10
5957,116,2021-11-25,2024-10-04
9359,21,2020-10-23,2021-05-29
5653,162,2020-05-18,2023-06-13
101,113,2022-07-18,2024-11-17
3428,41,2020-09-10,2021-09-14
8642,74,2020-01-01,2022-01-19
472,46,2024-07-26,2024-08-18
280,187,2020-01-20,2023-10-04
6413,30,2024-02-01,2024-12-10
6604,110,2023-07-20,2024-01-07
5107,112,2022-03-06,2022-04-14
5212,132,2024-05-05,2024-11-13
9992,51,2023-07-14,2024-09-24
2352,95,2024-11-17,2024-11-19
6634,36,2020-12-18,2022-12-18
1883,125,2022-03-03,2024-04-14
6400,103,2020-10-02,2021-08-29
3156,84,2023-12-06,2024-09-08
8487,118,2023-04-17,2024-02-24
6018,129,2021-08-27,2024-04-20
585,138,2023-01-30,2024-03-20
2850,115,2023-07-10,2024-03-17
1679,144,2020-04-14,2024-06-15
697,131,2021-06-11,2023-03-31
9132,102,2024-06-05,2024-12-24
4781,108,2024-11-05,2024-11-13
1317,36,2022-05-17,2022-12-15
9911,124,2022-05-02,2023-06-15
4506,8,2023-03-17,2023-07-19
9524,131,2024-05-09,2024-08-28
4868,133,2024-08-10,2024-10-12
5844,21,2022-05-17,2022-07-05
5129,123,2021-10-31,2024-01-01
9990,19,2024-03-04,2024-09-28
1659,52,2022-03-20,2024-07-22
1648,63,2021-07-15,2023-03-26
5372,35,2022-09-01,2023-06-19
2231,102,2024-05-28,2024-11-16
1687,72,2020-12-09,2022-03-19
2547,72,2024-09-25,2024-12-12
284,7,2022-05-10,2023-02-06
7228,73,2021-10-27,2022-07-10
5605,147,2020-04-06,2021-10-27
8254,43,2020-01-24,2020-03-08
951,158,2022-12-25,2022-12-30
2176,151,2022-03-26,2023-02-01
4135,144,2021-01-13,2024-05-31
5074,26,2021-11-01,2024-06-29
6894,77,2023-06-16,2024-07-11
4729,87,2022-08-04,2024-12-03
7396,164,2022-01-28,2022-08-26
2271,182,2023-07-30,2024-07-08
6705,156,2020-10-02,2023-04-14
3139,44,2024-06-10,2024-06-25
6862,62,2023-08-30,2024-06-27
9693,183,2024-09-04,2024-10-13
521,93,2020-01-31,2021-03-24
5233,80,2021-08-19,2022-07-27
1454,61,2023-11-01,2024-07-01
4857,10,2020-03-07,2023-07-13
6556,134,2021-11-18,2023-05-15
1781,195,2021-12-22,2022-08-06
269,102,2024-11-10,2024-12-26
9518,91,2022-02-28,2024-03-12
5343,152,2022-03-05,2023-10-26
7705,3,2020-05-16,2023-08-26
3665,108,2023-11-20,2024-08-26
4392,121,2023-05-12,2024-09-09
1626,85,2020-08-01,2020-09-21
7698,139,2022-08-04,2022-08-13
9602,25,2022-04-23,2022-09-17
2034,163,2020-05-18,2020-08-27
9511,158,2024-12-12,2024-12-22
9033,118,2020-06-17,2024-11-20
237,22,2021-02-22,2022-09-09
992,105,2020-10-07,2024-09-28
7211,177,2022-03-08,2023-03-09
291,14,2023-09-01,2024-01-20
4658,189,2020-03-05,2023-06-22
8430,96,2022-08-10,2023-09-17
4911,7,2020-08-27,2021-10-04
3996,143,2023-07-26,2024-01-22
1868,123,2024-12-22,2024-12-24
3012,96,2021-01-19,2022-09-30
9868,42,2024-12-16,2024-12-24
2859,94,2023-01-21,2024-07-07
2262,80,2023-12-05,2024-11-27
4304,172,2023-04-17,2023-12-08
8443,107,2020-03-09,2023-10-30
5283,49,2020-07-13,2021-04-22
1267,198,2022-04-15,2023-08-22
827,91,2022-07-05,2024-07-17
154,59,2024-11-12,2024-12-03
674,128,2022-02-06,2024-11-01
5746,138,2020-11-07,2023-07-05
6812,115,2022-12-23,2023-09-25
3945,5,2024-01-16,2024-04-01
8010,155,2023-06-04,2023-12-11
1212,100,2023-03-25,2023-11-06
1682,49,2021-08-26,2022-01-24
4975,145,2020-12-10,2023-12-02
9460,93,2023-05-09,2024-01-06
7209,89,2024-08-06,2024-09-03
3015,73,2024-10-15,2024-12-16
828,100,2024-03-10,2024-03-18
6723,50,2021-04-19,2021-12-03
7680,65,2024-10-29,2024-12-01
9231,114,2021-10-27,2022-03-20
7846,164,2022-02-01,2022-07-08
8231,149,2023-10-13,2024-04-21
9064,108,2023-12-20,2024-09-12
5953,168,2022-09-27,2024-08-28
7385,138,2021-04-28,2022-07-23
2421,76,2024-03-20,2024-06-09
999,190,2020-04-04,2020-04-06
1134,15,2020-09-30,2021-03-01
7657,163,2024-03-01,2025-01-01
7722,39,2024-07-11,2024-11-28
9672,81,2024-05-13,2024-08-06
2367,165,2022-07-13,2024-04-08
5754,116,2021-06-30,2022-02-28
6544,31,2022-07-30,2023-08-27
7590,21,2022-11-30,2023-03-19
4477,85,2022-11-11,2024-12-31
858,42,2023-07-19,2024-12-21
5706,170,2021-02-27,2023-01-09
2597,39,2024-04-20,2024-07-01
1532,144,2021-05-14,2024-04-23
5380,165,2020-10-29,2021-05-28
4958,7,2020-05-05,2020-07-25
1903,24,2021-12-30,2024-08-08
7831,120,2023-06-01,2024-09-08
5983,163,2023-10-30,2024-12-07
3830,102,2023-11-19,2024-02-22
5311,41,2020-01-23,2020-08-24
9290,83,2020-06-16,2020-12-14
5689,195,2020-03-15,2022-09-07
1289,54,2023-04-07,2023-04-16
4749,45,2024-11-26,2024-12-12
6993,67,2023-06-25,2024-06-02
2042,133,2024-04-30,2024-12-12
7772,68,2023-03-24,2023-08-31
6778,13,2022-12-06,2024-02-14
8477,63,2023-01-10,2023-05-04
2629,176,2020-10-21,2021-05-22
1627,74,2023-12-05,2024-10-29
3069,92,2021-01-15,2024-10-28
3646,127,2022-07-04,2024-07-14
2238,11,2022-11-28,2024-04-23
327,24,2021-04-22,2021-07-25
7706,22,2020-11-21,2022-10-09
1443,53,2020-03-20,2024-10-07
9687,117,2020-11-12,2022-09-30
5488,67,2023-01-30,2023-08-21
5805,126,2022-01-02,2024-02-14
9687,126,2022-07-17,2022-07-24
6489,110,2024-10-22,2024-11-28
8743,42,2022-05-14,2022-12-10
7297,182,2022-12-04,2023-08-10
4570,18,2024-12-16,2024-12-27
4204,198,2022-08-22,2024-12-09
7285,71,2024-01-12,2024-06-05
6911,53,2023-04-18,2024-07-04
5772,173,2023-02-01,2024-02-03
6909,45,2024-11-02,2024-12-15
1345,133,2020-05-16,2020-09-23
8059,106,2023-12-04,2023-12-20
638,38,2021-10-14,2022-05-30
8703,118,2021-11-20,2023-04-26
4513,77,2022-03-27,2022-09-25
4629,46,2021-11-13,2022-03-01
2707,63,2023-09-14,2023-10-11
5695,147,2020-05-11,2020-10-08
4832,149,2024-06-22,2024-10-16
592,197,2024-01-10,2024-05-14
3932,108,2021-12-27,2024-10-01
303,171,2023-10-18,2024-09-14
8445,71,2022-06-14,2023-05-23
3247,175,2022-01-31,2023-06-14
1685,153,2020-04-01,2022-11-06
6938,36,2024-11-27,2024-12-01
9294,22,2022-01-22,2023-04-30
7549,135,2024-02-21,2024-07-22
7887,200,2022-10-14,2024-07-04
512,83,2024-08-20,2024-11-11
9944,21,2020-03-16,2022-11-30
546,47,2024-07-06,2024-07-06
7447,168,2024-04-09,2024-05-25
265,85,2022-06-06,2022-12-13
9099,108,2024-09-02,2024-10-03
6453,186,2022-09-08,2024-04-29
3102,133,2024-01-23,2024-08-27
3301,178,2020-10-02,2021-07-27
1093,189,2024-06-16,2024-12-15
449,42,2023-07-22,2024-12-27
1703,51,2020-05-17,2021-03-04
1297,176,2020-07-26,2022-05-31
2473,49,2021-10-07,2023-08-27
3176,112,2024-07-26,2024-09-15
5715,180,2020-04-01,2022-09-05
5445,25,2020-08-19,2020-12-24
6696,23,2022-02-02,2023-05-07
7109,123,2023-04-20,2023-05-12
7827,8,2020-08-08,2021-11-26
2856,136,2021-06-17,2023-11-06
1846,39,2021-10-20,2022-07-10
7468,65,2023-03-03,2024-08-28
1952,193,2022-02-19,2022-07-31
7916,114,2024-02-19,2024-03-07
817,86,2024-09-05,2024-09-24
224,158,2021-07-24,2024-09-19
8724,179,2021-05-29,2024-08-06
2243,16,2021-12-20,2023-02-06
7415,151,2022-11-16,2024-03-24
1785,30,2020-01-24,2022-06-03
8892,32,2023-09-25,2023-10-19
4977,51,2020-12-22,2023-03-11
269,64,2021-07-25,2023-01-26
7395,52,2020-12-16,2023-11-15
8571,59,2024-05-27,2024-10-15
8615,187,2024-04-22,2024-08-17
447,191,2023-10-09,2024-08-30
146,71,2022-10-04,2023-07-28
7182,6,2020-05-01,2020-06-22
8877,147,2020-05-25,2024-03-28
5202,70,2021-09-25,2022-06-07
3503,90,2022-12-31,2023-12-06
1264,51,2021-07-25,2024-05-17
1945,132,2022-04-28,2024-06-28
3751,72,2021-06-13,2023-06-26
558,69,2024-12-19,2025-01-01
8753,52,2022-05-22,2023-12-29
74,87,2023-11-06,2024-10-16
933,96,2023-12-26,2024-05-04
7181,144,2023-08-24,2024-05-15
7626,8,2020-08-01,2022-05-11
7586,31,2023-08-13,2024-05-17
8781,187,2023-12-01,2024-04-06
7948,41,2023-09-07,2024-08-26
5090,30,2020-05-06,2022-11-02
8520,80,2021-08-18,2024-09-13
7868,114,2024-07-25,2024-11-13
5961,163,2020-08-07,2022-04-17
9644,89,2021-04-03,2023-03-16
1577,38,2020-01-09,2024-03-15
4769,110,2022-12-20,2024-02-16
8894,10,2022-06-19,2024-11-30
