ContainerID,GoodsID,Quantity
118667,46353,442
102851,23944,81
40172,6521,313
115091,25381,66
11414,42003,387
119635,49819,424
61628,28675,131
110559,21679,345
60357,2493,383
173260,4595,232
129898,17908,480
114382,174,468
10440,37484,72
3307,24379,469
37308,29651,483
144125,20030,291
113872,30746,444
147234,709,110
18741,10875,353
127446,36032,221
29189,16997,351
158995,38557,10
120744,38544,333
1831,47853,327
26338,10790,294
40665,22693,274
176855,12083,202
59229,39774,153
189066,40271,139
183610,3270,319
152609,23671,135
153258,28482,362
193736,2366,50
170011,10876,423
107032,23823,451
5912,38548,493
21578,22998,274
98620,15778,402
101058,47439,341
192786,46312,231
62021,693,60
80967,20584,400
84187,25688,250
8934,29351,86
15384,3324,240
86148,49780,90
53400,30321,223
113815,12340,198
175989,8933,454
10097,38427,269
194799,435,247
117910,15376,122
69790,22247,136
74702,46917,316
97273,13431,267
121836,19893,342
132118,32881,20
66,35234,430
25372,26740,371
9862,37789,43
58192,33877,216
166171,13697,373
184759,39102,315
187817,20701,267
131411,29983,26
22039,22034,388
118523,16947,24
99738,46282,302
183299,12791,77
82485,24510,58
12158,12395,444
182636,37080,162
59010,35307,281
174887,12777,341
168193,28426,281
184245,28261,149
73511,38473,123
96678,34361,137
36774,26212,260
54616,46788,388
109297,22127,17
90723,44832,280
162850,36674,81
12700,39928,398
165176,47016,88
196452,7238,107
64474,29947,471
89249,717,407
172325,21916,457
198072,7242,449
99993,47123,34
188791,33357,43
34569,48911,268
38321,26483,466
127300,10206,498
85487,34408,81
175806,44672,325
25845,45421,230
106366,29740,478
51907,25118,207
146038,35264,297
33831,29382,489
53481,15162,481
91094,40043,158
131572,6510,333
46523,3141,130
82641,43505,73
3171,10759,55
23311,42144,46
191462,41053,434
106507,48198,458
57075,35541,120
178870,37396,352
105956,42019,194
17821,15781,488
19187,47315,207
79857,16342,403
183168,24179,228
157907,40541,244
26295,22209,317
81957,27360,64
191993,33096,227
52448,40648,35
33396,15549,36
179374,33248,107
99041,48573,110
26101,13266,90
177550,16915,156
184739,46385,171
114002,16973,320
103602,47018,26
135660,19691,163
155479,12802,131
84368,35029,38
94422,30382,425
78380,46861,251
118141,13211,463
64939,2451,495
140710,49598,197
36478,37175,312
100207,48817,81
91673,31997,258
57905,18998,451
112072,45845,238
60998,36774,263
13878,41577,242
36403,38570,465
136089,12229,178
35863,49745,222
20066,46759,162
124175,16172,150
15339,44123,458
71475,5044,408
178869,35958,417
133150,21859,365
56328,33176,285
33695,35108,214
121155,26909,440
24933,27352,102
172153,13697,89
36173,28167,409
111799,38052,257
107005,36462,84
50975,44525,36
69882,13163,119
189026,4020,348
116516,12801,182
136027,3954,358
197120,44732,116
84077,11510,122
121660,34714,306
24211,42746,22
126357,32028,294
147130,31336,88
195572,15917,17
59312,42789,447
185848,38687,401
62296,46135,13
142194,25873,50
159299,8907,95
8950,28293,441
148861,25992,447
60182,5606,458
57726,35495,131
93742,45942,15
136736,42520,228
124078,13654,387
117197,20083,405
166010,32422,189
35784,16485,486
17607,48695,416
199803,15049,406
44858,41007,309
170469,23356,162
117683,31788,22
125319,24765,108
32510,8936,125
166618,3786,426
19930,14962,490
64213,1294,69
159874,18993,274
66900,40037,51
184430,44774,79
121345,10313,11
29216,25502,363
154939,20793,84
73663,24441,381
35088,45505,182
194412,27863,348
27346,14821,188
62629,24061,333
98684,29637,477
32117,49673,133
5367,18599,25
161487,48608,58
176773,34307,459
22671,34830,489
31238,11586,326
104918,26095,500
18885,44413,231
71591,44852,487
23318,13866,333
109183,6217,307
161895,41000,153
195647,43584,222
10058,22921,246
107773,15994,240
5556,2712,444
49729,39419,446
74413,37101,480
105379,1593,479
25153,8114,285
53387,31689,444
121509,13995,194
140065,36913,202
10697,48431,26
80738,33899,290
26186,23016,191
142332,14584,380
160984,15171,351
93714,42943,211
13381,22826,337
116576,37578,276
177980,38444,301
32483,49414,260
63359,14898,476
145609,4260,36
65509,16224,469
177780,3097,118
163384,12742,392
150706,10661,401
61278,2668,163
13373,49000,66
177134,43372,236
91515,39368,463
67907,27287,96
9586,31836,265
60718,37069,254
107702,31457,410
36643,1703,34
136830,26568,14
6234,48002,82
86343,31845,256
68020,22161,306
117441,25569,197
197820,47531,492
63713,34707,293
5474,18631,308
73583,44429,457
97298,30101,319
24607,31303,461
14717,2402,144
18817,18691,357
10222,49019,466
14300,16147,50
161066,5324,80
30919,18091,440
94413,7723,197
12348,43237,386
101173,8021,90
141967,14139,400
80604,33833,42
185246,10262,285
91297,46020,148
71789,35238,139
172384,20457,98
86063,39264,93
199665,38583,214
17957,31899,411
174031,19702,437
21843,22308,490
141548,12877,183
81217,26709,335
49212,44070,342
141005,43231,306
188815,20118,415
86046,18686,480
22486,11103,76
2964,14638,414
133504,6147,500
127061,2722,13
44806,13254,111
117514,5604,499
151245,14911,337
53203,6153,210
90767,12007,348
5725,16553,66
112708,15542,394
196363,17415,292
81336,36964,98
111550,10388,447
54619,2878,443
145038,27476,302
53183,9806,352
57386,28084,312
183232,9111,78
187284,39673,112
68545,49780,35
52134,572,293
177216,41246,85
98038,19172,104
193650,2092,492
162,32274,445
97465,16749,203
127863,47307,321
62591,22767,183
49002,16765,35
158968,42852,487
162120,38251,247
188337,1509,207
161667,16943,350
174920,17767,207
75964,3050,394
76778,26277,396
10435,46536,342
148952,29050,324
164296,35626,323
140984,42912,202
162385,37822,137
144858,41052,249
171453,39649,185
122671,33696,417
184,13265,446
109062,40064,464
9129,23264,463
85080,25087,87
134557,41822,39
150332,16387,391
86218,34804,464
167508,1116,21
126964,32029,392
95308,45084,493
3730,265,301
63568,31742,475
82409,13737,407
29872,22680,146
108379,45765,20
149217,5266,10
102642,42345,393
68578,41332,97
174159,3583,150
106878,19810,394
42061,2775,499
55525,25198,439
159399,27653,138
40464,39249,342
157455,39818,23
103404,16087,285
195927,41183,230
160964,4984,63
22946,2475,211
122728,22176,483
193139,17543,162
187821,35763,190
56260,25120,186
61009,9685,367
189902,17933,20
196950,15384,267
46647,14906,356
22170,30580,399
25670,49546,295
151352,29015,231
111555,23856,493
141320,28577,114
130716,27186,206
82058,22075,43
152650,46753,191
27908,12119,266
7477,45168,25
120645,20915,257
48445,43461,227
86466,30241,331
126060,34857,406
82610,10861,157
120023,5593,320
168257,19445,439
179745,2140,225
189492,20336,130
169265,46784,477
5590,44562,242
43545,860,349
19942,1373,393
137873,292,251
188604,4763,44
29719,33990,259
112427,40601,292
99260,41540,410
150836,35907,127
28811,31998,500
114124,28484,445
17451,1759,399
54001,11482,313
134174,46859,239
41440,46880,93
30855,31022,173
160145,46114,321
13562,2861,417
90148,21233,399
64531,23728,259
126543,1732,419
134123,19749,455
112867,32745,341
9489,38703,442
90775,11735,417
134442,1600,184
184865,47380,179
164266,6124,368
90399,12658,322
32844,45011,191
155126,20675,280
105674,16248,395
64782,12867,170
65184,12025,175
182272,34980,484
84189,27619,132
126618,49728,200
75431,14927,334
148274,31096,308
82355,20665,146
56326,1574,236
120112,21592,174
5770,30554,463
47247,4571,130
89971,37383,43
182411,8238,19
166113,10645,18
142664,22109,253
49815,11071,165
114225,13295,258
198327,28909,273
91794,41182,447
109133,226,200
113135,12585,202
134964,32349,462
113656,30885,193
104364,14976,192
130953,8766,351
93746,46198,255
108314,36917,471
164788,44637,269
97611,12958,443
5995,29899,104
106904,48895,439
104945,45907,397
21783,25729,25
16263,46409,40
52953,7657,391
179646,22947,421
122036,34394,157
34124,48187,196
1412,24169,207
9742,90,438
16054,47237,80
108210,30165,369
73451,2798,228
14641,4222,102
88080,40048,378
115940,42852,257
13542,676,267
145467,27747,439
101533,34349,182
30462,30110,273
42341,2157,327
119663,34091,363
180842,43865,19
48894,609,490
17833,27552,397
104589,14606,295
193001,38928,73
187332,31879,272
91859,33711,498
25486,26944,476
49233,6862,165
13070,7783,215
138155,46280,178
105456,41071,132
152655,14101,114
176770,22648,149
119498,31591,289
14741,28517,18
72261,18420,193
106540,24315,165
157336,261,373
101529,22795,253
42340,5704,235
54035,9442,63
115120,15212,332
129267,32865,353
44012,43121,459
104206,6148,136
113546,11583,130
130188,8108,89
54469,43699,296
122041,46623,63
35304,23613,401
163680,820,135
6837,1977,123
30585,25938,456
128370,18128,238
14894,885,20
49031,21847,462
61974,10515,301
45496,5911,418
803,29011,265
89415,19699,127
58119,46091,376
90685,6704,138
179123,10361,350
162395,34495,437
1277,25933,226
6384,2920,228
188323,39031,309
159433,10074,257
27391,25650,158
156945,11569,47
8666,20489,469
32357,26142,207
159683,29108,176
178805,4695,127
55841,23709,15
21469,34094,347
80570,23243,333
39112,3889,189
132963,1604,309
177776,21215,485
80280,2948,489
14323,14410,282
53440,35220,414
50363,30769,406
32530,15630,422
24614,28438,370
30809,9452,461
70328,32443,368
101909,8105,189
151994,12253,231
130489,32254,113
195117,2909,486
108718,7195,321
36953,29484,312
28412,7311,234
14718,34174,278
54751,17364,375
33159,19524,209
17945,20492,361
158761,38526,292
89140,40240,125
57174,33152,383
10460,36330,51
16746,4839,58
19797,35149,53
188171,37697,291
163082,17399,251
176808,43106,274
58553,1958,126
193305,22307,403
41366,25531,247
184129,12084,312
93128,49130,475
172850,23366,231
135833,34160,346
123187,32613,378
67967,3898,22
61221,155,243
80901,32234,415
17968,2347,58
135283,32904,241
199483,25309,476
120422,44060,164
27850,33392,474
84129,21287,273
61206,4015,320
19237,11857,295
152229,41804,123
70303,1857,22
688,22511,453
141985,11366,66
88697,2729,477
47538,12059,337
165493,3876,239
3113,49001,63
81794,49997,237
114376,37070,199
49398,9445,32
15692,5485,259
125812,21026,117
120174,39055,73
75345,24191,265
33441,12418,210
186058,221,279
82599,15498,250
139885,38253,36
10233,35546,470
67692,43142,227
99560,13786,400
103580,21380,430
196414,5079,408
25965,33331,255
32798,23898,232
138969,22477,115
99073,9063,85
198745,6051,17
91576,39768,117
68153,17925,147
115098,40004,490
14480,34288,311
62799,40704,132
35123,10109,19
170306,35190,479
9969,29188,51
95283,38897,461
39743,43971,490
197024,9696,323
152218,21860,190
3592,5673,278
177711,6477,438
57106,4485,388
32026,9036,80
44922,8143,304
57073,27127,122
123689,42674,108
138102,33815,276
30475,17030,95
65934,30607,371
146896,34481,299
181985,22063,395
129346,34931,175
63301,32566,40
119481,22936,63
94008,13915,134
140552,17582,164
85455,46340,357
101334,25346,436
182420,13511,227
103852,15139,142
74848,29489,22
8308,21042,255
194681,48624,367
33795,13444,499
10866,48177,91
87684,47893,237
4636,21141,120
16104,15269,484
42267,32148,71
9166,34823,73
7422,20470,445
181284,31132,363
74790,29310,77
22758,40906,218
112872,1741,116
47427,24446,417
159364,10008,191
156759,20230,336
5677,16971,89
83445,15506,127
188349,8889,64
93127,34463,152
174573,32459,389
183786,16025,84
79438,37203,127
136596,36008,269
149337,22867,47
24203,10067,353
164834,22544,227
151855,1431,272
16681,22930,79
125183,35736,241
159826,49801,86
172985,27063,261
65868,15085,162
47945,34609,220
160089,38435,353
38976,37091,74
58255,23211,362
4828,40679,437
43553,12538,355
95713,14936,288
175544,31285,233
78547,44532,121
32529,20271,92
116372,21942,284
194808,22468,51
57779,13102,222
62965,45608,335
149429,20782,212
45210,27505,373
34839,14603,303
9207,28721,201
142654,43685,49
54180,25159,109
33601,27833,131
1228,26667,423
41060,24883,232
59328,48669,188
106194,19542,404
49101,26567,256
594,35813,130
176315,45063,437
151489,24753,38
169614,15265,286
97530,35155,170
16039,33348,495
15680,10502,103
176009,8707,233
14025,20156,132
146642,35559,390
84503,40591,125
154183,29898,420
189522,6696,183
134770,37691,28
133271,31340,172
26113,39013,149
135725,17725,266
83129,42763,109
97079,41203,55
196067,40631,55
42690,38483,322
159729,18183,258
195889,39744,293
52512,23417,335
135000,17025,91
178292,38655,296
56551,15366,44
141345,7100,159
31043,31786,496
74121,35836,274
156885,4699,351
174452,316,208
42332,35959,145
2828,49765,482
78549,47781,117
117725,40074,95
61467,32574,229
19472,11934,234
143531,12062,391
22457,21063,226
26751,5078,494
61596,9978,167
258,29513,279
78685,22323,22
108364,36902,107
87150,214,375
4695,6101,203
90872,10142,189
141273,513,239
38358,17633,425
129905,22242,295
34337,28457,195
2314,36018,459
18572,33491,77
70926,9334,315
83834,11487,36
63440,32354,485
18847,45418,450
80073,39195,394
68557,6515,70
58020,15772,401
157913,27742,270
164605,24920,387
6438,6932,380
77977,5930,346
164577,14151,322
34526,46781,12
58824,47138,55
170998,25174,470
3325,36526,424
132253,45672,25
99193,621,121
20588,40274,414
84722,25621,21
105957,27734,322
26731,43893,444
152425,46790,22
27248,7745,420
112761,28755,32
136716,27290,68
157971,14367,22
141676,47797,145
186129,21174,346
29960,10687,22
130190,26223,139
169009,39471,418
192672,6620,452
174299,15265,163
144759,24074,127
119232,47476,239
179818,37995,128
103433,19167,40
158175,42135,413
63295,34908,405
47598,42820,359
70570,37178,392
11574,26536,73
19188,36404,334
90723,42520,496
131870,38692,356
82196,13206,268
60467,8884,132
106360,37351,415
127923,39534,206
32994,18119,172
157112,39310,362
73363,30180,129
24267,48343,420
21375,21395,67
83030,9866,326
25150,19586,377
61355,22116,324
124367,28800,361
72105,22040,359
93025,35,314
179661,7512,498
85046,27161,60
152754,24959,181
132357,32490,115
168746,1659,344
109302,44486,141
100780,41023,128
92550,27705,330
40260,27880,215
4481,43148,273
46188,47342,269
93088,22096,116
161833,14862,164
148253,43133,311
30942,28704,32
16511,504,447
136762,18872,384
161080,35158,461
141676,9265,308
82089,46694,332
146455,9305,365
74532,21521,295
43646,8650,250
72869,1051,351
112167,8629,310
144387,28137,493
7675,41298,158
75771,49580,410
11031,13459,93
13537,40149,249
69098,1439,251
111102,46639,98
159859,13128,134
15516,20782,312
116163,1020,212
198753,34267,205
120523,45203,270
181271,15857,449
801,16117,237
6254,1090,414
152755,13425,37
78292,12790,496
95579,40048,281
50908,46047,114
52362,40588,408
95889,32693,114
83188,40904,127
190738,584,78
102100,5773,453
40104,3054,352
138912,38342,59
13366,30794,375
16074,1279,30
117083,41259,422
137010,45290,474
81074,33424,463
115200,3414,104
140525,38120,286
128095,30102,202
150608,23558,440
64638,41202,387
56381,17164,368
4983,12819,208
66715,44162,415
9773,13916,127
83217,39319,371
171905,44635,124
3342,358,78
64184,20115,318
178656,18744,148
55563,5123,312
162147,18910,270
133972,9658,452
185002,25279,129
182573,37980,437
159189,40924,490
118342,8248,94
66182,16848,42
65303,14901,210
67987,20235,153
180692,38164,157
81874,40032,396
341,31682,114
136552,26628,226
71416,38820,206
124126,9616,459
145633,20594,110
99790,48508,466
33603,37189,456
128815,31503,94
93762,43338,50
106176,9743,47
103712,19801,29
59053,13725,94
169611,47982,381
68952,7985,317
122080,38069,26
9525,40362,305
119168,37357,495
26392,4755,454
43918,44608,197
144989,23629,79
172229,29698,206
87299,11657,443
27073,42417,103
146328,49918,27
45276,30910,280
126605,46007,192
197268,8502,414
62894,32473,385
166712,41453,97
21371,3764,329
76276,2798,272
125287,48047,429
26925,23331,155
197465,31479,283
172312,12203,235
185483,23549,339
185782,33310,339
189607,34252,275
74921,41897,498
114334,4238,483
137478,48160,423
129931,29632,89
105868,41584,266
42359,23445,362
99212,35970,203
139197,35851,364
132826,11237,398
29063,47847,329
542,48746,344
131217,23846,244
99714,11774,350
23311,43343,118
56649,33202,99
75402,13076,164
144258,33339,133
155220,15177,496
181905,36644,98
51747,7980,270
18049,16799,322
49430,16891,223
185519,22792,243
29609,49663,78
179061,5997,500
153373,2935,465
196837,30311,183
145490,25557,143
60962,43089,131
76774,28551,21
184147,2148,163
7821,15145,330
103911,20247,82
179672,43797,313
167612,21095,442
92064,2668,482
133964,22327,15
136261,5231,450
49626,31717,117
14542,24852,90
19944,3137,179
21590,5560,234
3159,15593,32
63612,18496,57
125262,6419,306
37574,38647,21
31078,46876,154
100321,5969,153
92599,15200,107
151612,19068,67
153433,25881,430
101008,721,394
183534,34139,337
12173,42257,432
140084,5982,76
64131,42152,174
77933,3878,144
170867,3378,236
140130,848,249
162844,9645,202
72720,9824,395
6638,10466,348
188178,47515,40
110643,3912,157
115849,11352,329
73103,18300,270
132104,16620,190
40064,22292,436
74891,44310,422
37308,38356,340
137802,14169,310
130364,17153,90
98016,48359,199
149789,27364,121
148739,33585,467
25674,31045,409
51391,30703,64
57770,6234,246
161948,28819,11
178847,5405,498
88113,37708,182
97007,10995,145
91943,12786,243
39862,7051,221
25495,23939,47
105885,16849,463
120622,38913,315
145602,14182,36
50205,49179,442
34790,3672,47
189638,29001,207
90920,26175,383
186426,7497,241
119158,11612,434
35854,39745,301
198940,4424,321
164804,8375,422
34761,32774,132
25415,11599,406
97868,21824,413
26172,3457,443
84828,12329,214
177052,37905,249
181319,29493,135
57698,42975,47
55045,12318,50
142482,13475,454
161988,235,168
93926,38299,43
96332,48512,365
155628,27721,13
24841,12662,129
82273,20294,252
6926,5215,343
195284,9322,69
53182,42571,389
136203,35454,87
9598,46539,32
33297,36673,296
84629,32755,202
16738,6265,203
50581,24665,367
180255,1626,257
98385,46852,103
21323,38834,134
20089,24142,55
110193,26474,213
121722,25900,453
112333,16069,161
171194,30638,265
145816,35694,367
97297,14918,194
84989,13125,326
60321,23966,243
15143,17245,255
118751,12827,425
65086,19432,395
38872,41018,184
179385,38829,400
168270,5661,75
9608,10588,19
2067,42087,151
50487,36219,416
17216,10526,40
70292,43324,33
77744,19205,492
29006,39047,24
195527,19571,410
129529,27524,356
56591,3904,440
9527,16295,56
140502,11789,274
132101,4725,213
80531,36545,295
73410,40869,378
76199,47563,245
63622,23850,483
52527,33072,146
74832,39102,482
154020,9439,264
112785,1998,153
148930,29882,76
68712,26836,260
137193,17053,222
153003,42937,411
140411,35878,375
194921,37063,146
1838,178,143
38311,18077,124
109103,17958,213
106492,14875,115
104284,9981,136
189490,22229,369
51004,3609,64
21965,45402,425
121989,25161,449
160577,14421,244
159264,2285,72
55574,44802,211
92730,14235,415
67059,19316,258
110704,47133,150
158984,18367,178
97789,29460,417
190286,8269,336
26339,34681,322
97637,14630,349
17132,40631,253
128706,23168,454
136321,23138,378
4868,40192,160
114021,28821,171
45668,38673,355
6094,23922,359
13331,27568,427
113671,39982,500
78407,38149,399
84850,40346,310
18140,42887,16
174108,7006,148
88092,268,481
137176,34785,254
120609,27534,343
170703,44806,99
143241,30130,308
188295,30206,289
154964,44612,95
25668,34513,224
28763,28181,12
9635,10789,338
9563,40704,468
126562,38127,103
40597,17437,111
28253,13385,452
131887,18077,413
173303,17499,17
21543,31342,346
115338,24019,49
123929,48362,280
78448,13065,134
5779,45060,489
28513,33230,92
25801,46208,64
110759,38084,19
117027,20743,154
128421,18534,468
93643,43438,183
180895,28668,150
131442,42819,267
151526,36669,367
162283,394,299
35950,16521,216
22093,48792,252
37428,23762,381
91311,9576,392
145383,30669,358
149846,7523,207
21509,14371,218
152309,45299,306
64976,13169,499
5461,26504,74
82805,25477,60
73651,12474,353
90472,14470,362
78537,12915,41
99060,14576,260
73019,25009,272
163055,7310,18
28675,45755,410
194914,36018,477
150518,6708,480
163669,46597,371
91513,29500,329
94889,47734,110
153637,29202,230
123429,41824,411
3031,17832,196
182177,21933,84
180982,8310,83
45783,43289,287
193994,5843,196
181338,16943,129
143215,37543,80
52387,17945,485
55321,40616,301
129718,22266,435
27630,9555,244
85917,36948,379
153946,37359,450
67277,5702,149
162286,48325,228
62563,8992,245
115905,11038,403
177785,15883,290
50457,22826,157
181709,21710,273
100333,46776,371
50938,45524,356
149624,21773,343
170038,22467,38
165495,47805,353
18578,34298,119
6505,44098,100
15155,4035,136
85504,10309,337
154670,33886,384
34024,39194,243
172293,38807,127
161723,31693,415
49394,34203,103
42194,48101,49
88857,26297,105
93085,29632,195
113313,23228,199
17409,42035,166
100404,38036,166
187826,34430,151
85991,30339,487
52635,9974,27
75299,25340,118
161276,3395,399
153712,538,385
17388,15619,389
40667,1155,236
95382,12104,184
83495,29090,141
14304,31950,346
108760,35078,33
158043,4056,428
115693,33547,234
68430,33294,190
7873,6908,50
28340,42246,251
40637,32232,461
62174,22771,143
20831,8595,245
111642,15128,367
190774,46701,351
58335,31415,166
142023,41604,361
158884,21415,239
100938,14270,317
25812,16879,411
46570,39247,93
101454,10723,78
189458,30094,38
71905,8959,41
27052,30274,269
90222,46939,193
370,14713,391
76326,29959,130
87956,30662,240
164775,40504,146
77417,37799,259
145666,23425,383
59796,35717,481
123640,6831,213
167616,28910,288
18883,7858,411
44971,34204,254
43259,41803,346
91957,12830,365
125659,15367,219
195463,45904,405
62920,26859,445
95151,14068,361
69939,4159,432
129481,5640,339
132281,48787,314
178762,19892,407
153076,48881,143
33748,31519,265
143521,33379,477
159121,16483,405
198847,12414,495
176918,17385,257
7839,40753,355
141776,40338,12
91062,19368,268
69019,18900,92
153899,12976,164
118784,27521,385
82804,42968,165
36295,17314,390
130955,38089,26
149718,30378,475
112404,44356,135
26891,29385,278
33093,7136,197
93376,36294,477
32834,39231,204
199075,41139,82
71627,47351,433
176506,38928,303
93196,38712,123
80878,16128,107
164735,12282,234
73947,45239,109
108137,6165,225
193510,48006,247
34034,10011,122
182432,4364,422
131323,18290,297
140810,23239,156
59300,46848,448
176229,19972,161
167342,4336,464
198420,4073,26
192988,30787,470
89571,23840,470
142522,38018,163
6386,39901,491
198398,7448,303
13343,45413,156
46631,38034,61
197338,32307,475
7012,6337,95
169755,24741,18
192971,24914,488
99655,39630,344
187078,26943,66
104980,5571,206
142738,10353,256
125107,25207,331
92551,28618,423
192799,1436,332
53544,24842,438
127487,22312,347
40125,17551,118
127856,39191,157
153463,25487,500
780,20012,292
62309,15680,420
143041,40786,181
18544,47447,380
149557,41082,301
64422,24406,453
33427,45330,483
80809,49101,252
55113,32986,434
8979,20080,421
172811,14895,311
29229,17525,96
118080,20899,216
57336,646,375
31227,43083,24
35912,5023,290
35824,30992,209
85146,38264,355
31358,15055,475
185977,25719,135
89780,27473,10
31861,36426,16
134874,26539,351
189400,26171,462
120241,26639,415
170715,43894,280
13195,16409,122
191006,33094,156
61463,32349,138
40238,17835,405
89110,28562,79
198195,34034,89
173524,11100,68
155085,5713,399
106258,9537,23
121444,16068,188
21117,23649,477
92952,15154,284
78836,20635,388
176320,3262,286
146520,10498,282
120684,45167,405
155779,3946,76
131250,45940,201
197453,11250,245
72075,7715,93
113153,22646,229
161382,33399,393
156615,42177,142
36680,46227,245
159989,4968,463
146290,30753,418
196068,1995,437
105274,44440,49
183559,19673,87
89837,40904,396
89360,38828,234
40496,33786,223
116362,19843,66
165727,22145,87
116282,13526,323
81290,10407,15
51089,20162,86
136845,26889,397
7424,38939,22
141674,22796,327
157239,15917,32
16279,25452,105
177153,49800,128
194457,1113,500
138907,34435,406
