TaskID,TaskName,Description,StartDate,EndDate,Status
103,Coordinate Shipping,Coordinate with shipping companies.,2021-06-13,2023-04-10,In Progress
104,Unload Cargo,Unload cargo from ships.,2022-02-17,2022-06-28,Complete
105,Handle Security,Handle port security procedures.,2023-01-12,2023-12-22,Empty
106,Check Vessel Schedules,Check vessel arrival schedules.,2024-09-13,2024-09-22,In Progress
107,Coordinate with Customs,Coordinate with customs officers.,2021-08-06,2023-01-20,In Progress
108,Monitor Loading Progress,Monitor vessel loading progress.,2020-12-11,2021-10-29,Empty
109,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2021-12-02,2023-05-10,Complete
110,Supervise Dock Workers,Supervise dock workers.,2020-01-15,2020-03-05,Empty
111,Monitor Cargo Inventory,Monitor cargo inventory.,2024-11-05,2024-12-05,Complete
112,Monitor Container Movement,Monitor container movements.,2021-11-05,2024-04-08,In Progress
113,Monitor Container Movement,Monitor container movements.,2022-10-27,2024-12-19,Empty
114,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2023-04-06,2024-01-04,Complete
115,Coordinate with Customs,Coordinate with customs officers.,2022-08-11,2023-07-23,Complete
116,Document Shipments,Ensure proper documentation for shipments.,2024-01-16,2024-08-28,In Progress
117,Supervise Turnaround Times,Supervise vessel turnaround times.,2020-10-19,2024-08-03,Empty
118,Monitor Container Movement,Monitor container movements.,2020-09-24,2021-01-02,In Progress
119,Coordinate Shipping,Coordinate with shipping companies.,2020-11-03,2023-07-15,Complete
120,Track Container Locations,Track container locations on-site.,2024-04-27,2024-09-10,In Progress
121,Load Cargo,Load cargo onto ships.,2024-04-11,2024-09-15,In Progress
122,Track Shipping Docs,Track shipping documents.,2024-06-09,2024-11-24,Complete
123,Supervise Container Storage,Supervise container storage.,2024-04-20,2024-09-20,In Progress
124,Track Container Locations,Track container locations on-site.,2024-10-21,2024-10-24,Complete
125,Ensure Safe Unloading,Ensure safe unloading operations.,2022-11-14,2024-08-29,Empty
126,Ensure Safe Unloading,Ensure safe unloading operations.,2022-02-17,2022-05-08,Complete
127,Track Shipping Docs,Track shipping documents.,2020-12-07,2022-08-12,In Progress
128,Manage Berth Allocation,Manage berth allocation.,2022-05-04,2022-07-29,Empty
129,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2024-12-20,2024-12-26,In Progress
130,Supervise Dock Workers,Supervise dock workers.,2024-10-10,2024-11-07,Empty
131,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2024-07-27,2024-10-13,In Progress
132,Ensure Safe Unloading,Ensure safe unloading operations.,2022-10-28,2023-07-28,In Progress
133,Inspect Containers,Inspect containers for damage.,2023-09-10,2023-12-12,In Progress
134,Oversee Cargo Inspections,Oversee cargo inspections.,2023-06-08,2024-12-01,Complete
135,Track Shipping Docs,Track shipping documents.,2022-08-20,2024-07-16,Complete
136,Document Shipments,Ensure proper documentation for shipments.,2022-10-16,2024-05-27,In Progress
137,Monitor Container Movement,Monitor container movements.,2020-02-09,2021-08-31,In Progress
138,Supervise Dock Workers,Supervise dock workers.,2023-07-11,2024-05-08,Empty
139,Document Shipments,Ensure proper documentation for shipments.,2021-02-17,2022-11-10,Complete
140,Supervise Turnaround Times,Supervise vessel turnaround times.,2022-11-04,2024-03-02,In Progress
141,Manage Berth Allocation,Manage berth allocation.,2021-07-19,2024-05-07,In Progress
142,Ensure Compliance,Ensure compliance with port regulations.,2020-03-28,2024-07-05,Complete
143,Oversee Cargo Inspections,Oversee cargo inspections.,2022-09-02,2024-02-20,In Progress
144,Ensure Proper Stowage,Ensure proper stowage of containers.,2020-07-01,2021-08-13,In Progress
145,Coordinate Shipping,Coordinate with shipping companies.,2023-06-24,2024-01-26,Complete
146,Assist with Cargo Consolidation,Assist with cargo consolidation.,2024-08-09,2024-11-15,In Progress
147,Supervise Container Storage,Supervise container storage.,2020-02-07,2020-09-14,In Progress
148,Ensure Safe Unloading,Ensure safe unloading operations.,2024-06-08,2024-09-20,Empty
149,Supervise Dock Workers,Supervise dock workers.,2024-09-10,2024-09-26,Empty
150,Load Cargo,Load cargo onto ships.,2023-07-28,2024-02-12,In Progress
151,Handle Billing,Handle port billing and invoicing.,2022-10-20,2023-04-09,Empty
152,Coordinate Shipping,Coordinate with shipping companies.,2024-06-29,2024-09-25,Empty
153,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2023-09-01,2024-08-10,In Progress
154,Supervise Loading Process,Supervise the loading and unloading process.,2022-02-03,2023-04-07,Complete
155,Handle Customs Clearance,Handle port customs clearance.,2022-06-23,2022-10-09,In Progress
156,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2023-05-01,2024-05-04,Empty
157,Manage Berth Allocation,Manage berth allocation.,2020-11-11,2022-09-03,In Progress
158,Check Vessel Schedules,Check vessel arrival schedules.,2020-02-02,2020-03-18,Complete
159,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2022-01-28,2024-07-09,Empty
160,Coordinate Safety Drills,Coordinate port safety drills.,2023-03-30,2023-10-22,Empty
161,Supervise Dock Workers,Supervise dock workers.,2020-02-14,2023-08-30,Complete
162,Track Container Locations,Track container locations on-site.,2023-05-07,2024-07-04,In Progress
163,Oversee Cargo Inspections,Oversee cargo inspections.,2024-03-03,2024-12-03,Empty
164,Manage Berth Allocation,Manage berth allocation.,2023-06-24,2024-09-05,Empty
165,Assist with Cargo Consolidation,Assist with cargo consolidation.,2021-11-23,2023-07-01,Complete
166,Monitor Cargo Inventory,Monitor cargo inventory.,2024-10-09,2024-11-19,In Progress
167,Ensure Safe Unloading,Ensure safe unloading operations.,2024-01-30,2024-03-30,Empty
168,Handle Security,Handle port security procedures.,2020-02-23,2023-05-28,Complete
169,Supervise Dock Workers,Supervise dock workers.,2024-02-01,2024-12-19,Empty
170,Inspect Containers,Inspect containers for damage.,2021-07-09,2021-12-22,Complete
171,Ensure Compliance,Ensure compliance with port regulations.,2021-10-08,2023-12-05,Complete
172,Manage Berth Allocation,Manage berth allocation.,2021-09-19,2024-04-03,Empty
173,Manage Ship Departure,Manage ship departure logistics.,2020-04-22,2023-03-11,Complete
174,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2024-10-08,2024-11-19,In Progress
175,Prepare Performance Reports,Prepare port performance reports.,2024-04-15,2024-11-29,Complete
176,Track Shipping Docs,Track shipping documents.,2022-12-21,2024-03-24,Complete
177,Ensure Compliance,Ensure compliance with port regulations.,2023-09-20,2024-05-27,Complete
178,Coordinate with Customs,Coordinate with customs officers.,2022-01-26,2024-02-23,Empty
179,Coordinate Safety Drills,Coordinate port safety drills.,2023-07-16,2024-08-19,In Progress
180,Coordinate Safety Drills,Coordinate port safety drills.,2022-01-23,2024-09-19,In Progress
181,Assist with Cargo Consolidation,Assist with cargo consolidation.,2020-05-29,2021-10-10,Complete
182,Supervise Turnaround Times,Supervise vessel turnaround times.,2022-08-18,2022-08-20,Complete
183,Unload Cargo,Unload cargo from ships.,2022-06-17,2023-01-09,In Progress
184,Handle Billing,Handle port billing and invoicing.,2023-05-25,2024-09-23,Empty
185,Manage Ship Departure,Manage ship departure logistics.,2024-02-28,2024-03-28,Empty
186,Inspect Containers,Inspect containers for damage.,2023-12-15,2024-10-24,In Progress
187,Monitor Container Movement,Monitor container movements.,2023-01-22,2024-12-28,In Progress
188,Monitor Loading Progress,Monitor vessel loading progress.,2023-12-10,2024-10-19,Empty
189,Monitor Loading Progress,Monitor vessel loading progress.,2024-08-01,2024-10-24,In Progress
190,Operate Cranes,Operate cranes and other port equipment.,2023-08-06,2023-12-06,Empty
191,Inspect Containers,Inspect containers for damage.,2024-08-18,2024-10-12,Complete
192,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2024-04-23,2024-12-12,In Progress
193,Inspect Containers,Inspect containers for damage.,2022-03-06,2024-06-01,Complete
194,Track Container Locations,Track container locations on-site.,2020-01-13,2023-12-16,In Progress
195,Coordinate Shipping,Coordinate with shipping companies.,2022-11-09,2022-11-26,In Progress
196,Monitor Loading Progress,Monitor vessel loading progress.,2022-10-04,2024-06-20,In Progress
197,Prepare Performance Reports,Prepare port performance reports.,2023-07-25,2023-09-11,Empty
198,Track Shipping Docs,Track shipping documents.,2021-10-15,2023-10-25,Empty
199,Supervise Container Storage,Supervise container storage.,2022-05-24,2024-03-01,Complete
200,Manage Berth Allocation,Manage berth allocation.,2024-06-24,2024-11-18,Empty
201,Handle Security,Handle port security procedures.,2022-02-16,2024-03-12,In Progress
202,Monitor Loading Progress,Monitor vessel loading progress.,2021-02-12,2021-10-06,Empty
203,Coordinate Safety Drills,Coordinate port safety drills.,2022-06-22,2024-03-14,Complete
204,Handle Security,Handle port security procedures.,2022-02-04,2023-02-19,Complete
205,Load Cargo,Load cargo onto ships.,2021-10-30,2023-05-22,Empty
206,Track Shipping Docs,Track shipping documents.,2020-11-18,2023-12-29,In Progress
207,Oversee Cargo Inspections,Oversee cargo inspections.,2020-03-10,2023-03-29,In Progress
208,Coordinate Safety Drills,Coordinate port safety drills.,2024-02-27,2024-10-22,In Progress
209,Assist with Cargo Consolidation,Assist with cargo consolidation.,2024-09-16,2024-10-20,In Progress
210,Prepare Performance Reports,Prepare port performance reports.,2023-01-15,2023-11-06,Empty
211,Assist with Cargo Consolidation,Assist with cargo consolidation.,2020-11-15,2021-09-23,Complete
212,Handle Billing,Handle port billing and invoicing.,2022-02-06,2022-09-10,Empty
213,Monitor Loading Progress,Monitor vessel loading progress.,2022-06-19,2022-10-09,In Progress
214,Track Shipping Docs,Track shipping documents.,2022-12-27,2023-02-23,Complete
215,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2023-05-29,2023-07-14,Complete
216,Inspect Containers,Inspect containers for damage.,2021-09-03,2022-12-26,Complete
217,Ensure Compliance,Ensure compliance with port regulations.,2021-09-29,2024-11-15,Empty
218,Supervise Dock Workers,Supervise dock workers.,2023-05-25,2024-10-19,Complete
219,Document Shipments,Ensure proper documentation for shipments.,2020-09-10,2024-04-15,Complete
220,Oversee Cargo Inspections,Oversee cargo inspections.,2022-02-18,2022-07-20,In Progress
221,Supervise Container Storage,Supervise container storage.,2022-02-18,2024-05-15,In Progress
222,Supervise Loading Process,Supervise the loading and unloading process.,2024-02-15,2024-10-01,Empty
223,Document Shipments,Ensure proper documentation for shipments.,2020-04-21,2024-12-03,Complete
224,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2021-12-06,2024-03-27,Complete
225,Ensure Proper Stowage,Ensure proper stowage of containers.,2022-11-05,2024-03-28,In Progress
226,Monitor Container Movement,Monitor container movements.,2020-04-03,2022-12-12,Complete
227,Supervise Turnaround Times,Supervise vessel turnaround times.,2021-11-05,2024-12-29,Empty
228,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2024-08-21,2024-11-06,Empty
229,Check Vessel Schedules,Check vessel arrival schedules.,2023-02-28,2023-04-04,Empty
230,Assist with Cargo Consolidation,Assist with cargo consolidation.,2021-05-24,2023-08-06,Empty
231,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2021-01-14,2021-02-25,Complete
232,Coordinate Shipping,Coordinate with shipping companies.,2024-05-09,2024-05-19,In Progress
233,Inspect Containers,Inspect containers for damage.,2022-05-22,2023-02-06,In Progress
234,Ensure Proper Stowage,Ensure proper stowage of containers.,2020-01-10,2020-06-25,Empty
235,Check Vessel Schedules,Check vessel arrival schedules.,2021-10-28,2024-06-24,In Progress
236,Monitor Cargo Inventory,Monitor cargo inventory.,2020-05-31,2023-10-18,Empty
237,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2021-03-22,2022-11-27,Empty
238,Monitor Container Movement,Monitor container movements.,2022-08-29,2024-10-25,Complete
239,Handle Customs Clearance,Handle port customs clearance.,2024-10-13,2024-11-29,Complete
240,Operate Cranes,Operate cranes and other port equipment.,2020-05-26,2021-07-02,Complete
241,Handle Billing,Handle port billing and invoicing.,2022-12-05,2024-11-22,Empty
242,Manage Resources,Ensure efficient use of port resources.,2021-02-05,2021-07-07,Complete
243,Track Shipping Docs,Track shipping documents.,2020-05-21,2022-07-11,Complete
244,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2022-07-30,2023-07-14,Empty
245,Manage Resources,Ensure efficient use of port resources.,2022-09-25,2024-05-31,Complete
246,Handle Security,Handle port security procedures.,2024-07-15,2024-08-17,Complete
247,Coordinate Shipping,Coordinate with shipping companies.,2024-12-10,2024-12-30,Empty
248,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2020-05-29,2023-12-23,In Progress
249,Unload Cargo,Unload cargo from ships.,2024-05-01,2024-08-05,In Progress
250,Track Shipping Docs,Track shipping documents.,2020-01-07,2022-08-27,Complete
251,Oversee Cargo Inspections,Oversee cargo inspections.,2020-05-21,2024-08-28,Complete
252,Plan Docking Schedules,Plan ship docking schedules.,2020-07-31,2023-08-13,Empty
253,Coordinate with Customs,Coordinate with customs officers.,2024-07-15,2024-10-20,In Progress
254,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2024-09-29,2024-10-19,Complete
255,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2024-12-23,2024-12-30,Empty
256,Supervise Dock Workers,Supervise dock workers.,2023-11-08,2024-01-22,Complete
257,Supervise Turnaround Times,Supervise vessel turnaround times.,2024-05-21,2024-12-13,Complete
258,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2023-07-22,2023-10-06,In Progress
259,Handle Customs Clearance,Handle port customs clearance.,2024-01-08,2024-12-25,Complete
260,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2024-04-02,2024-05-23,Complete
261,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2021-05-15,2022-11-01,Empty
262,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2024-07-07,2024-11-17,In Progress
263,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2022-04-11,2022-06-19,In Progress
264,Document Shipments,Ensure proper documentation for shipments.,2020-03-13,2024-03-31,In Progress
265,Inspect Containers,Inspect containers for damage.,2024-05-12,2024-05-20,Complete
266,Prepare Performance Reports,Prepare port performance reports.,2022-05-17,2023-05-25,In Progress
267,Prepare Performance Reports,Prepare port performance reports.,2022-10-25,2023-03-22,Complete
268,Supervise Turnaround Times,Supervise vessel turnaround times.,2022-08-18,2023-11-23,In Progress
269,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2022-07-15,2023-12-09,Complete
270,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2023-04-09,2023-11-15,Complete
271,Ensure Compliance,Ensure compliance with port regulations.,2021-05-21,2023-02-05,Empty
272,Ensure Compliance,Ensure compliance with port regulations.,2024-08-17,2024-11-01,Empty
273,Track Container Locations,Track container locations on-site.,2022-07-29,2023-02-01,Complete
274,Manage Ship Departure,Manage ship departure logistics.,2023-08-06,2023-11-20,In Progress
275,Monitor Cargo Inventory,Monitor cargo inventory.,2022-09-23,2023-05-13,Empty
276,Monitor Cargo Inventory,Monitor cargo inventory.,2021-03-27,2023-01-13,Empty
277,Document Shipments,Ensure proper documentation for shipments.,2023-02-02,2024-03-14,Empty
278,Manage Ship Departure,Manage ship departure logistics.,2023-09-13,2023-10-24,In Progress
279,Handle Billing,Handle port billing and invoicing.,2022-06-30,2023-07-09,Empty
280,Plan Docking Schedules,Plan ship docking schedules.,2021-08-10,2024-04-13,Complete
281,Inspect Containers,Inspect containers for damage.,2023-05-18,2024-07-12,Complete
282,Track Shipping Docs,Track shipping documents.,2022-04-22,2022-08-22,Empty
283,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2021-04-20,2022-01-31,Empty
284,Check Vessel Schedules,Check vessel arrival schedules.,2023-10-09,2024-01-22,In Progress
285,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2023-12-11,2024-10-01,In Progress
286,Supervise Turnaround Times,Supervise vessel turnaround times.,2020-07-04,2021-08-22,Complete
287,Assist with Cargo Consolidation,Assist with cargo consolidation.,2020-01-17,2021-08-02,Complete
288,Monitor Cargo Inventory,Monitor cargo inventory.,2020-05-20,2024-09-17,In Progress
289,Unload Cargo,Unload cargo from ships.,2020-06-20,2022-03-03,Empty
290,Assist with Cargo Consolidation,Assist with cargo consolidation.,2024-07-12,2024-08-29,In Progress
291,Supervise Turnaround Times,Supervise vessel turnaround times.,2024-12-21,2024-12-29,Complete
292,Oversee Cargo Inspections,Oversee cargo inspections.,2024-11-09,2024-12-15,Empty
293,Operate Cranes,Operate cranes and other port equipment.,2024-04-27,2024-07-09,Complete
294,Handle Security,Handle port security procedures.,2024-09-24,2024-12-18,Complete
295,Supervise Loading Process,Supervise the loading and unloading process.,2023-12-26,2024-01-05,In Progress
296,Oversee Cargo Inspections,Oversee cargo inspections.,2020-10-30,2021-06-18,Complete
297,Track Container Locations,Track container locations on-site.,2023-01-10,2023-08-08,Empty
298,Assist with Cargo Consolidation,Assist with cargo consolidation.,2021-10-14,2024-07-22,Empty
299,Unload Cargo,Unload cargo from ships.,2022-10-17,2023-02-12,Empty
300,Prepare Performance Reports,Prepare port performance reports.,2024-04-04,2024-08-18,Complete
301,Coordinate Shipping,Coordinate with shipping companies.,2021-10-16,2022-08-13,Complete
302,Handle Billing,Handle port billing and invoicing.,2024-09-10,2024-10-26,In Progress
303,Coordinate Safety Drills,Coordinate port safety drills.,2021-01-13,2023-08-10,Complete
304,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2021-04-03,2021-05-24,Complete
305,Ensure Compliance,Ensure compliance with port regulations.,2021-10-31,2022-11-05,In Progress
306,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2024-07-19,2024-08-06,Empty
307,Coordinate with Customs,Coordinate with customs officers.,2022-05-18,2023-07-01,Complete
308,Monitor Cargo Inventory,Monitor cargo inventory.,2022-10-31,2024-12-21,Complete
309,Ensure Proper Stowage,Ensure proper stowage of containers.,2024-02-01,2024-10-20,Empty
310,Operate Cranes,Operate cranes and other port equipment.,2020-10-20,2022-11-30,Complete
311,Coordinate with Customs,Coordinate with customs officers.,2020-05-09,2021-10-22,Complete
312,Monitor Container Movement,Monitor container movements.,2021-04-22,2022-04-22,Empty
313,Manage Berth Allocation,Manage berth allocation.,2021-04-22,2023-05-22,Empty
314,Manage Berth Allocation,Manage berth allocation.,2024-11-10,2024-11-20,In Progress
315,Track Container Locations,Track container locations on-site.,2024-12-11,2024-12-28,Empty
316,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2023-01-23,2024-10-04,In Progress
317,Assist with Cargo Consolidation,Assist with cargo consolidation.,2021-09-27,2022-07-09,Complete
318,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2023-07-28,2023-11-15,In Progress
319,Handle Billing,Handle port billing and invoicing.,2023-10-06,2024-07-15,Empty
320,Inspect Containers,Inspect containers for damage.,2022-01-26,2023-10-04,Complete
321,Supervise Dock Workers,Supervise dock workers.,2020-02-10,2021-02-22,In Progress
322,Handle Security,Handle port security procedures.,2021-11-21,2024-11-13,In Progress
323,Supervise Container Storage,Supervise container storage.,2020-07-17,2024-09-14,Complete
324,Monitor Container Movement,Monitor container movements.,2020-02-13,2020-03-18,Complete
